Title,Company,Location,Salary,Job Type,Date Posted,Summary
"PO, Research & Data Analyst",The Elevation Church,Nigeria,,Full-time,PostedJust posted,Train volunteers on the use of M&E frameworks and digital data collection platforms Provide continuous support to volunteers as required/li> Communications…
QA Tester - Intern,mDoc Healthcare,Lagos,,,EmployerActive 6 days ago,"Advanced knowledge of data security and encryption.
We are seeking an innovative and experienced quality analyst to join our team."
Data Analyst - Healthcare,eMedicStore,Lagos,,,EmployerActive 5 days ago,"Implement new data analysis methodologies and data collection systems.
Leverage data to identify strategic opportunities for competitive advantage."
HR Analyst,Jobrole Consulting Limited,Ikeja,"₦150,000 - ₦200,000 a month",Full-time,PostedPosted 2 days ago,"Analyze and interpret data to generate actionable insights.
Demonstrated ability to interpret data to derive business insights."
Business Intelligence Analyst,TSL Metroline Limited,Lagos,,,PostedPosted 1 day ago,"Analyse business information/ data to identify process improvements that will.
Participate in cross-functional meetings to resolve recurring customer issues for…"
Data Analyst,GVA Partners,Lagos,,Full-time,EmployerActive 5 days ago,"Minimum of 3 years working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases…"
IT Analyst,JNC,Lagos,,,EmployerActive 5 days ago,"Knowledge of databases, data processes, program architectures, and data security.
IT analysts handle the analysis, maintenance, and enhancement of information…"
Lab Analyst,Jobrole Consulting Limited,Shagamu,,,EmployerActive 5 days ago,Ensure data are used or processed for the purpose set for such data and ensure absolute confidentiality while processing or using personal data.
IT Analyst,Unilever,Lagos,,,PostedPosted 6 days ago,"Has an owner’s mindset, using data and insight to make decisions.
You are humble and have your head up, looking around to interpret evidence and data smartly,…"
Research Analyst I/II,IFPRI (International Food Policy Research...,Abuja,,,PostedPosted 30+ days ago,"Contribute to quantitative analyses of primary and secondary data, including household surveys, monitoring data, and value chain stack surveys."
Data Analyst,Color,Lagos,,,PostedPosted 26 days ago,"Develop and implement databases and data collection systems for optimal efficiency and data quality.
This role is ideal for someone with a strong foundation in…"
Data Analyst,Thornkez Concerns and Resources Limited,Lagos,,,PostedPosted 30+ days ago,"We are looking to hire a data analyst to join our data team.
Work experience as a data analyst or in a related field.
Thornkez Concerns and Resources Limited."
Data Analyst,Leaders Network,Lagos,,,PostedPosted 30+ days ago,"Data Collection: Gather, clean, and preprocess data from various sources, ensuring data quality and integrity.
IT & Telecoms NGN 150,000 - 250,000."
Market Research Analyst,Smallvest,Abuja,"₦100,000 - ₦150,000 a month",Temporary,EmployerActive 6 days ago,"The task will include gathering and analyzing data, creating reports, and communicating your findings to the team.
Salary: ₦100,000.00 - ₦150,000.00 per month."
Budget Performance Analyst,TERAWORK,Lagos,"₦200,000 a month",Full-time,EmployerActive 5 days ago,"Demonstrate proficiency in data analytics, utilizing tools and techniques to extract meaningful insights.
Possess strong analytical and statistical skills to…"
"Data Analyst (Sokoto, Ondo)",Jhpiego,Sokoto,,,PostedPosted 12 days ago,"Overview: Jhpiego seeks for a two (2) Data Analysts to support data collection, verification, management and analysis for an innovative Unitaid project that…"
Business System Analyst,Systemtech Groups,Lagos,"₦70,000 - ₦150,000 a month",Full-time,EmployerActive 6 days ago,* Analyze current business processes and make recommendations for improvement based on industry trends and professional business knowledge * Improve training…
